Designator,Mid X,Mid Y,Rotation,Layer
A1,176.13,-58.85,0.0,bottom
C1,200.39,-53.63,180.0,bottom
J1,211.58,-61.55,180.0,top
LED1,169.78,-99.24,0.0,top
R1,145.45,-59.47,0.0,bottom
R2,139.015,-59.545,0.0,bottom
R3,131.86,-58.52,0.0,bottom
S1,183.71,-99.58,0.0,top
SW1,156.2,-99.0,0.0,top
TF1,146.46,-44.94,180.0,bottom
U3,199.43,-45.250101,180.0,bottom
