Designator,Mid X,Mid Y,Rotation,Layer
C1,200.39,-53.63,180.0,bottom
J1,211.58,-61.55,180.0,top
S1,178.25,-100.58,0.0,top
SW1,157.73,-100.77,0.0,top
TF1,146.46,-44.94,180.0,bottom
U1,172.325948,-48.2,0.0,bottom
U3,199.43,-45.250101,180.0,bottom
