Designator,Mid X,Mid Y,Rotation,Layer
C1,140.93,-95.92,270.0,bottom
D1,209.631036,-100.738965,45.0,top
D2,207.64,-98.77,45.0,top
J1,211.58,-61.55,180.0,top
R1,212.35,-96.35,0.0,bottom
R2,212.31,-93.56,0.0,bottom
S1,178.25,-100.58,0.0,top
SW1,157.73,-100.77,0.0,top
TF1,153.73,-45.0125,180.0,bottom
U1,176.287738,-48.36,0.0,bottom
U2,134.460101,-97.21,270.0,top
